Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
64,relu,192,3,0.1,0.0007,100,7.099937915802002,2.664570868977217,2.0048675537109375,10.999579727649689,0.81171053647995
64,elu,256,3,0.1,0.0007,100,7.163029193878174,2.6763836036484334,2.011589765548706,11.214404553174973,0.81003737449646
64,relu,256,3,0.2,0.0003,100,7.182284832000732,2.679978513346839,2.023324966430664,11.093878746032715,0.8095266819000244
32,relu,192,3,0.1,0.0003,100,7.182297706604004,2.6799809153432426,2.0063138008117676,11.048409342765808,0.8095263838768005
32,relu,384,2,0.2,0.0001,100,7.199432849884033,2.6831758887341013,2.0073134899139404,11.047333478927612,0.809071958065033
64,relu,192,3,0.1,0.0005,100,7.234710693359375,2.689741752168668,2.0185348987579346,11.118663847446442,0.8081364035606384
32,leaky_relu,192,2,0.2,0.0005,100,7.24397087097168,2.691462589554549,2.0218257904052734,11.21264100074768,0.8078908324241638
64,elu,256,3,0.1,0.0003,100,7.254355430603027,2.693391065293532,2.019063711166382,11.368994414806366,0.8076153993606567
32,leaky_relu,384,3,0.2,0.0001,100,7.32159423828125,2.7058444593659203,2.0204169750213623,11.178205907344818,0.8058322668075562
32,relu,256,3,0.2,0.0003,100,7.322133541107178,2.705944112709495,2.05015230178833,11.266954988241196,0.8058179616928101
64,relu,384,3,0.2,0.0001,100,7.324565410614014,2.7063934323401715,2.031261920928955,11.204976588487625,0.8057534694671631
64,relu,192,2,0.2,0.0003,100,7.329588890075684,2.707321349613984,2.0264570713043213,11.256963014602661,0.8056202530860901
64,relu,384,2,0.2,0.0001,100,7.332233428955078,2.707809710625006,2.0348052978515625,11.23456358909607,0.8055500984191895
32,elu,384,2,0.1,0.0003,100,7.3342061042785645,2.7081739427663365,2.0378074645996094,11.503883451223373,0.8054977655410767
32,elu,192,2,0.1,0.0007,100,7.409806251525879,2.7220959298903997,2.0448122024536133,11.67043074965477,0.8034929037094116
