Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
64,relu,256,3,0.1,0.0003,100,6.867380142211914,2.6205686677154474,1.9576807022094727,10.725599527359009,0.8178779482841492
32,elu,192,3,0.1,0.0003,100,6.882509708404541,2.623453774779449,1.9529491662979126,11.206675320863724,0.817476749420166
32,relu,256,2,0.2,0.0003,100,6.924420356750488,2.6314293372139956,1.964964747428894,10.890376567840576,0.8163652420043945
32,elu,192,2,0.1,0.0007,100,6.942890644073486,2.634936554088824,1.9676544666290283,11.304154247045517,0.8158754110336304
32,elu,256,2,0.1,0.0003,100,7.033703804016113,2.6521130828107826,1.9859830141067505,11.295969784259796,0.8134670853614807
64,relu,192,3,0.1,0.0003,100,7.035325527191162,2.6524188068989334,1.9921327829360962,10.994792729616165,0.8134240508079529
64,relu,256,3,0.2,0.0003,100,7.052950859069824,2.655739230246416,1.9993804693222046,11.017882078886032,0.8129566311836243
64,relu,192,2,0.1,0.0003,100,7.172638416290283,2.6781781897943766,2.0082926750183105,11.097639054059982,0.8097825050354004
64,leaky_relu,256,3,0.1,0.0003,100,7.188785076141357,2.6811909809152645,2.009082317352295,11.11152172088623,0.809354305267334
64,leaky_relu,256,2,0.1,0.0003,100,7.253380298614502,2.693210036112019,2.0092244148254395,11.12973466515541,0.8076412677764893
32,elu,192,3,0.1,0.0005,100,7.2717814445495605,2.69662408291359,2.022603750228882,11.51999682188034,0.8071532845497131
32,relu,192,2,0.2,0.0003,100,7.275111675262451,2.697241493686179,2.0250093936920166,11.243399977684021,0.807064950466156
64,leaky_relu,192,3,0.2,0.0003,100,7.288539409637451,2.699729506753862,2.021937847137451,11.144872009754181,0.8067088723182678
32,relu,256,2,0.2,0.0007,100,7.345531940460205,2.7102641827800116,2.0488643646240234,11.295713484287262,0.8051974177360535
64,leaky_relu,192,3,0.1,0.0003,100,7.3476715087890625,2.7106588698670775,2.030066967010498,11.234339326620102,0.8051406741142273
32,leaky_relu,256,3,0.2,0.0003,100,7.39111852645874,2.7186611643341543,2.045198440551758,11.286699026823044,0.8039884567260742
64,leaky_relu,192,2,0.1,0.0003,100,7.492839336395264,2.7373051229987615,2.054919958114624,11.40335351228714,0.8012908697128296
32,elu,256,3,0.2,0.0005,100,7.5439863204956055,2.7466318137849504,2.1061408519744873,12.048738449811935,0.799934446811676
64,elu,192,3,0.1,0.0005,100,7.564785957336426,2.750415597202798,2.066179037094116,11.694006621837616,0.7993828654289246
64,elu,256,3,0.1,0.0003,100,7.580354690551758,2.7532443935386044,2.058866024017334,11.660518497228622,0.7989699840545654
32,elu,256,3,0.1,0.0003,100,7.722718715667725,2.778977998413756,2.082437753677368,11.779408156871796,0.7951945066452026
64,elu,256,2,0.1,0.0005,100,7.738569736480713,2.7818284879698663,2.0936946868896484,11.896909028291702,0.7947741150856018
64,elu,192,3,0.1,0.0003,100,7.953296661376953,2.820158978032436,2.1128034591674805,11.994004249572754,0.7890796065330505
64,leaky_relu,192,2,0.2,0.0003,100,8.181229591369629,2.8602848794079287,2.1687142848968506,11.99057251214981,0.7830348610877991
32,elu,192,2,0.1,0.0003,100,8.30968952178955,2.882653208727951,2.198103904724121,12.444905936717987,0.7796280980110168
64,elu,256,2,0.1,0.0003,100,8.493457794189453,2.91435375241055,2.2241415977478027,12.607946991920471,0.7747545838356018
32,elu,256,3,0.2,0.0007,100,8.740337371826172,2.956406158129524,2.2541964054107666,12.87529319524765,0.7682073712348938
64,elu,256,3,0.2,0.0007,100,8.93126392364502,2.9885220299748534,2.2805607318878174,13.143879175186157,0.7631440162658691
64,elu,192,2,0.2,0.0007,100,9.145159721374512,3.024096513237385,2.3163111209869385,13.417200744152069,0.7574715614318848
64,elu,192,2,0.1,0.0005,100,9.177892684936523,3.029503702743491,2.3285651206970215,13.094064593315125,0.756603479385376
64,elu,256,3,0.2,0.0003,100,9.237160682678223,3.0392697614193813,2.3290345668792725,13.433678448200226,0.7550317049026489
64,elu,192,2,0.2,0.0005,100,9.543224334716797,3.0892109566549184,2.366509437561035,13.686075806617737,0.7469148635864258
64,elu,256,2,0.2,0.0007,100,9.66401195526123,3.1086993993085326,2.390960216522217,13.790710270404816,0.7437115907669067
32,elu,256,2,0.2,0.0003,100,9.695452690124512,3.113752188297025,2.3938441276550293,13.875898718833923,0.7428778409957886
32,elu,192,3,0.2,0.0007,100,10.03545093536377,3.1678779861863005,2.4312453269958496,13.86009305715561,0.7338610887527466
32,elu,256,2,0.2,0.0007,100,10.281712532043457,3.2065109592894667,2.4714856147766113,14.288727939128876,0.7273303270339966
64,elu,192,3,0.2,0.0007,100,10.356788635253906,3.218196487981103,2.463135242462158,13.994625210762024,0.7253392934799194
32,elu,192,2,0.2,0.0007,100,10.544466018676758,3.2472243560734695,2.505265712738037,14.444205164909363,0.7203620672225952
32,elu,192,3,0.2,0.0005,100,11.449971199035645,3.3837806074028567,2.603968620300293,14.794369041919708,0.6963481903076172
32,elu,256,3,0.2,0.0003,100,11.555614471435547,3.399355008150156,2.6288094520568848,14.932693541049957,0.6935465335845947
64,elu,192,2,0.1,0.0003,100,11.60229778289795,3.4062145826265775,2.637009382247925,14.618907868862152,0.6923085451126099
64,elu,256,3,0.2,0.0005,100,11.643499374389648,3.4122572257070023,2.639023542404175,14.856913685798645,0.6912158727645874
32,elu,256,2,0.2,0.0005,100,11.930365562438965,3.454036126394593,2.6875336170196533,15.242020785808563,0.6836082339286804
64,elu,192,3,0.2,0.0003,100,12.015498161315918,3.466337860237504,2.6858553886413574,15.17004668712616,0.6813505291938782
32,elu,192,2,0.2,0.0005,100,12.36120891571045,3.515851094075295,2.751966953277588,15.653054416179657,0.6721823215484619
64,elu,192,3,0.2,0.0005,100,12.440317153930664,3.5270833777968256,2.7566323280334473,15.57372361421585,0.6700843572616577
32,elu,192,2,0.2,0.0003,100,12.6019926071167,3.549928535494299,2.7761216163635254,15.74295312166214,0.6657967567443848
64,elu,256,2,0.2,0.0003,100,12.718110084533691,3.5662459371913333,2.795106887817383,15.821126103401184,0.662717342376709
64,elu,256,2,0.2,0.0005,100,12.725334167480469,3.567258634789531,2.7889955043792725,15.829508006572723,0.6625257730484009
64,elu,192,2,0.2,0.0003,100,12.734649658203125,3.568564089126483,2.798584461212158,15.817439556121826,0.6622787117958069
32,elu,192,3,0.2,0.0003,100,12.882991790771484,3.5892884797368243,2.8191940784454346,15.983086824417114,0.6583447456359863
