Neighbors,Weights,Leaf_Size,P,MSE,RMSE,MAE,MAPE,R²
10,uniform,40,2,12.92529682914046,3.5951768842632013,2.7909093291404607,0.15543337588371384,0.6572227855636302
10,uniform,50,2,12.92529682914046,3.5951768842632013,2.7909093291404607,0.15543337588371384,0.6572227855636302
10,uniform,30,2,12.92529682914046,3.5951768842632013,2.7909093291404607,0.15543337588371384,0.6572227855636302
10,uniform,20,2,12.931644339622643,3.596059557296381,2.7909905660377357,0.15542223383122483,0.6570544503996143
10,uniform,10,2,12.942643291404611,3.5975885383690853,2.792348008385744,0.1555093698048525,0.6567627596088045
15,uniform,50,1,13.142921441882134,3.6253167367668904,2.8260569531795947,0.15930087146165944,0.6514514087407627
15,uniform,40,1,13.142921441882134,3.6253167367668904,2.8260569531795947,0.15930087146165944,0.6514514087407627
15,uniform,30,1,13.142921441882134,3.6253167367668904,2.8260569531795947,0.15930087146165944,0.6514514087407627
15,uniform,10,1,13.146471977638015,3.625806389982512,2.826432564640112,0.15931218681664056,0.6513572489878188
15,uniform,20,1,13.153572909387375,3.6267854788210694,2.827040531097135,0.1593759886924529,0.6511689331884121
15,uniform,30,2,13.60927235033776,3.6890747282127205,2.882568134171908,0.16215861898296857,0.6390838424509199
15,uniform,50,2,13.60927235033776,3.6890747282127205,2.882568134171908,0.16215861898296857,0.6390838424509199
15,uniform,40,2,13.60927235033776,3.6890747282127205,2.882568134171908,0.16215861898296857,0.6390838424509199
15,uniform,10,2,13.612418285581178,3.6895010889795357,2.8828127183787555,0.16215260441615537,0.6390004126516826
15,uniform,20,2,13.620096680642906,3.6905415159083232,2.883272187281621,0.16217731617414144,0.6387967825992829
20,uniform,20,1,13.840899167976938,3.7203358945096525,2.9164216457023056,0.16536111966110967,0.63294112894974
20,uniform,30,1,13.840979435272537,3.720346682134951,2.9165579140461215,0.16536747887810865,0.6329390002713537
20,uniform,40,1,13.840979435272537,3.720346682134951,2.9165579140461215,0.16536747887810865,0.6329390002713537
20,uniform,50,1,13.840979435272537,3.720346682134951,2.9165579140461215,0.16536747887810865,0.6329390002713537
20,uniform,10,1,13.846805791404613,3.7211296391559125,2.9169339622641512,0.16540449106618282,0.6327844860538725
20,uniform,20,2,14.19456218553459,3.76756714413089,2.962261530398323,0.16724442939664533,0.6235620310760059
20,uniform,10,2,14.20101047562893,3.7684228100929613,2.9630175576519915,0.16728417120439878,0.6233910232495989
20,uniform,50,2,14.201821698113207,3.7685304427738417,2.9623977987421384,0.16723511374235275,0.6233695097333429
20,uniform,40,2,14.201821698113207,3.7685304427738417,2.9623977987421384,0.16723511374235275,0.6233695097333429
20,uniform,30,2,14.201821698113207,3.7685304427738417,2.9623977987421384,0.16723511374235275,0.6233695097333429
25,uniform,10,1,14.440541714884697,3.8000712776058156,2.995424528301887,0.17071957695282453,0.6170386855007689
25,uniform,20,1,14.44578590356394,3.8007612268549495,2.995840670859539,0.17076648757766738,0.6168996102894826
25,uniform,50,1,14.45059779874214,3.8013941914437313,2.996464360587002,0.1708063429417249,0.6167719994464091
25,uniform,40,1,14.45059779874214,3.8013941914437313,2.996464360587002,0.1708063429417249,0.6167719994464091
25,uniform,30,1,14.45059779874214,3.8013941914437313,2.996464360587002,0.1708063429417249,0.6167719994464091
25,uniform,20,2,14.67135431446541,3.830320393187156,3.019002096436058,0.17082220269507306,0.6109175649580885
25,uniform,30,2,14.672684951781969,3.83049408716186,3.018959119496855,0.17080740374820538,0.6108822766270872
25,uniform,50,2,14.672684951781969,3.83049408716186,3.018959119496855,0.17080740374820538,0.6108822766270872
25,uniform,40,2,14.672684951781969,3.83049408716186,3.018959119496855,0.17080740374820538,0.6108822766270872
25,uniform,10,2,14.674726335429769,3.8307605426898936,3.019780922431866,0.1708487111349219,0.610828139394524
30,uniform,30,1,14.858981606685301,3.8547349593305764,3.047972571628232,0.17443619139925567,0.6059417132287591
30,uniform,50,1,14.858981606685301,3.8547349593305764,3.047972571628232,0.17443619139925567,0.6059417132287591
30,uniform,40,1,14.858981606685301,3.8547349593305764,3.047972571628232,0.17443619139925567,0.6059417132287591
30,uniform,10,1,14.864669182389937,3.8554726276281532,3.047852900069881,0.17444177117286602,0.6057908794504172
30,uniform,20,1,14.865305188679246,3.855555107721746,3.0477410901467508,0.174435809029838,0.6057740126451828
30,uniform,20,2,15.018906967738179,3.8754234565706724,3.0664247030048912,0.17419088815583006,0.6017005131616283
30,uniform,50,2,15.028989313999533,3.876724044086648,3.068357791754018,0.17426819097882876,0.6014331306316846
30,uniform,30,2,15.028989313999533,3.876724044086648,3.068357791754018,0.17426819097882876,0.6014331306316846
30,uniform,40,2,15.028989313999533,3.876724044086648,3.068357791754018,0.17426819097882876,0.6014331306316846
30,uniform,10,2,15.033005278942463,3.8772419680673096,3.067951607267645,0.17426451703871393,0.6013266277563843
35,uniform,50,1,15.226295693749199,3.9020886322262336,3.094085804132974,0.17763954685821826,0.5962005907422612
35,uniform,40,1,15.226295693749199,3.9020886322262336,3.094085804132974,0.17763954685821826,0.5962005907422612
